Trait	n
Fasting triglycerides in VLDL	7
Fasting triglycerides levels in medium VLDL	7
Fasting triglycerides levels in small HDL	7
Fasting triglycerides levels in small VLDL	7
Fibrinogen levels or plasminogen activator inhibitor 1 levels (pleiotropy)	7
Fibrinogen levels or tissue plasminogen activator levels (pleiotropy)	7
Free cholesterol to total lipids ratio in small HDL	7
Generalized anxiety disorder (mental health questionnaire or predicted)	7
Generalized anxiety disorder (phenotype risk score)	7
Glutamine levels	7
Graves' disease	7
Gut microbiota abundance (genus Bifidobacterium id.436)	7
Hay fever and/or eczema	7
IDP dMRI ProbtrackX MD atr l	7
IDP dMRI TBSS ICVF Anterior corona radiata R	7
IDP dMRI TBSS ICVF Retrolenticular part of internal capsule L	7
IDP dMRI TBSS L2 Superior fronto-occipital fasciculus L	7
IDP dMRI TBSS OD Cerebral peduncle R	7
IDP SWI T2star left caudate	7
IDP SWI T2star left putamen	7
IDP SWI T2star right caudate	7
Irritable bowel syndrome	7
Joint mobility (Beighton score)	7
Knee osteoarthritis	7
Late-onset Alzheimer's disease	7
Linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2] levels	7
Male puberty timing (late vs. average onset facial hair)	7
Male puberty timing (late vs. average onset voice breaking)	7
Medication use (salicylic acid and derivatives)	7
Parental longevity (mother's attained age)	7
Pediatric autoimmune diseases	7
Percentage of invited food questionnaires completed	7
Phospholipid levels in small HDL	7
Phospholipids to total lipids ratio in IDL	7
Phospholipids to total lipids ratio in very large VLDL	7
Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid)	7
Pneumonia	7
Postprandial free cholesterol in medium VLDL	7
Postprandial medium VLDL particle concentration	7
Postprandial serum total triglycerides	7
Postprandial total lipids in medium VLDL	7
Postprandial triglycerides in VLDL	7
Postprandial triglycerides levels in medium VLDL	7
Postprandial triglycerides levels in small VLDL	7
Principal component-derived dietary pattern 3	7
Raw vegetable consumption	7
SARS-CoV-2 infection	7
Serum levels of protein APOB	7
Serum levels of protein C5orf38	7
Serum levels of protein CKAP2	7
Serum levels of protein CTF1	7
Serum levels of protein PSME1	7
Smoking behaviour (cigarette pack-years)	7
Stromelysin-1 levels	7
Total lipid levels in small HDL	7
Triglyceride levels in large HDL	7
Triglycerides x physical activity interaction (2df test)	7
Uterine leiomyoma or breast cancer (pleiotropy)	7
Very low density lipoprotein cholesterol levels	7
VLDL cholesterol levels	7
Waist circumference adjusted for BMI in non-smokers	7
Water consumption (glasses per day) (UKB data field 1528)	7
White matter hyperintensities	7
White matter mean diffusivity x age interaction (2df)	7
3-Hydroxybutyrate levels	6
3-hydroxyoctanoate levels in elite athletes	6
Accelerometer-based physical activity measurement (average acceleration)	6
Advanced age-related macular degeneration	6
Age of onset of parkinson disease	6
Age-related cognitive decline (memory) (slope of z-scores)	6
Allergic rhinitis	6
Alzheimer's disease assessment scale (12 month visit)	6
Alzheimer's disease assessment scale (24 month visit)	6
Alzheimer's disease assessment scale (6 month visit)	6
Alzheimer's disease assessment scale (baseline)	6
Alzheimer's disease in hypertension	6
Alzheimer's disease in hypertension-negative individuals	6
Alzheimer’s disease (clinical subgroup AD+)	6
Alzheimer’s disease (clinical subgroup AD++)	6
Alzheimer’s disease (clinical subgroup AD+++)	6
Alzheimer’s disease and/or vascular dementia (clinical subgroup VaD+)	6
Amygdala volume change rate x age interaction (1df)	6
Amygdala volume change rate x age interaction (2df)	6
AmygNuclei lh volume Medial-nucleus	6
AmygNuclei rh volume Cortical-nucleus	6
AmygNuclei rh volume Medial-nucleus	6
Amyloid (PET imaging) (24 month visit)	6
Amyloid (PET imaging) (baseline)	6
Amyloid pathology	6
Amyloid status (abnormal vs normal)	6
Apo E plasma levels	6
aseg lh intensity Accumbens-area	6
aseg lh intensity Pallidum	6
aseg lh intensity Putamen	6
aseg rh intensity Accumbens-area	6
aseg rh intensity Pallidum	6
aseg rh volume Pallidum	6
Aspartate aminotransferase platelet ratio index in high alcohol intake	6
Attention deficit hyperactivity disorder	6
Autism spectrum disorder (MTAG)	6
Autoimmune thyroid disease	6
Barrett's esophagus  or Esophageal adenocarcinoma	6
BBQ/grilled meat liking	6
Body mass index and LDL-C (pairwise)	6
Brain rsFMRI measurement (amplitude of low frequency fluctations) (Net100_Node39)	6
Brain rsFMRI measurement (amplitude of low frequency fluctations) (Net100_Node42)	6
Brain rsFMRI measurement (amplitude of low frequency fluctations) (Net25_Node5)	6
Breast cancer (male)	6
Broad bean liking	6
Burger liking	6
Cabbage liking	6
Carotid intima media thickness	6
Central cerebrospinal fluid amyloid beta 42 levels	6
Central cerebrospinal fluid amyloid beta 42 to 40 ratio	6
Central cerebrospinal fluid amyloid beta 42 to 40 ratio (abnormal vs normal)	6
Ceramide (d18:2/20:0) levels	6
Cerebral amyloid angiopathy in APOEe4 carrier Alzheimer’s disease	6
Cerebral amyloid deposition positivity (PET imaging)	6
Cerebral cortex AV-45 amyloid PET measurement	6
Cerebral microbleeds	6
Cerebral microbleeds (lobar)	6
Cerebrospinal AB1-42 levels in Alzheimer's disease dementia	6
Cerebrospinal AB1-42 levels in mild cognitive impairment	6
Cerebrospinal AB1-42 levels in normal cognition	6
Cerebrospinal fluid amyloid beta 42 levels	6
Cerebrospinal fluid amyloid beta 42 levels (12 month visit)	6
Cerebrospinal fluid amyloid beta 42 levels (24 month visit)	6
Cerebrospinal fluid amyloid beta 42 levels (baseline)	6
Cerebrospinal fluid amyloid beta 42 levels in APOE e4 carriers	6
Cerebrospinal fluid amyloid beta 42 levels in normal amyloid levels	6
Cerebrospinal fluid biomarker levels	6
Cerebrospinal fluid p-tau levels (12 month visit)	6
Cerebrospinal fluid p-tau levels (24 month visit)	6
Cerebrospinal fluid p-tau levels (baseline)	6
Cerebrospinal fluid p-tau levels in mild cognitive impairment	6
Cerebrospinal fluid p-tau levels in normal amyloid levels	6
Cerebrospinal fluid t-tau levels (24 month visit)	6
Cerebrospinal fluid t-tau levels (baseline)	6
Cerebrospinal fluid t-tau levels in mild cognitive impairment	6
Cerebrospinal T-tau levels	6
Change in serum metabolite levels	6
Change in serum metabolite levels (CMS)	6
Cheese consumption	6
Cholesteryl ester (24:1) levels	6
Cholesteryl ester levels in small LDL	6
Concentration of medium VLDL particles	6
Cortical amyloid beta load	6
Cream liking	6
Decaffeinated coffee consumption and/or insomnia	6
DHEAS levels	6
Diastolic blood pressure (cigarette smoking interaction)	6
Diastolic blood pressure x low social support interaction (2df test)	6
Diffuse plaques	6
Diverticular disease	6
Endometriosis or migraine	6
Endothelial monocyte-activating polypeptide 2 levels	6
Entorhinal cortical thickness	6
Entorhinal cortical volume (12 month visit)	6
Entorhinal cortical volume (24 month visit)	6
Entorhinal cortical volume (6 month visit)	6
Entorhinal cortical volume (baseline)	6
Epilepsy	6
F-carbohydrate liking (derived food-liking factor)	6
F-salad vegetables liking (derived food-liking factor)	6
Familial combined hyperlipidemia defined by Mexico criteria	6
Fasting 3-hydroxybutyrate	6
Fasting cholesterol esters in IDL	6
Fasting cholesterol esters in large LDL	6
Fasting cholesterol esters in medium HDL	6
Fasting cholesterol esters in medium LDL	6
Fasting cholesterol esters in medium VLDL	6
Fasting cholesterol esters in small LDL	6
Fasting cholesterol esters in small VLDL	6
Fasting esterified cholesterol	6
Fasting free cholesterol	6
Fasting free cholesterol in IDL	6
Fasting free cholesterol in large LDL	6
Fasting free cholesterol in medium LDL	6
Fasting free cholesterol in small LDL	6
Fasting free cholesterol in small VLDL	6
Fasting free cholesterol in very small VLDL	6
Fasting IDL particle concentration	6
Fasting large LDL particle concentration	6
Fasting medium LDL particle concentration	6
Fasting omega-6 fatty acids	6
Fasting phospholipid levels in IDL	6
Fasting phospholipid levels in large LDL	6
Fasting phospholipid levels in medium LDL	6
Fasting phospholipid levels in small HDL	6
Fasting phospholipid levels in small LDL	6
Fasting phospholipid levels in small VLDL	6
Fasting phospholipid levels in very small VLDL	6
Fasting saturated fatty acids	6
Fasting serum total cholesterol	6
Fasting small LDL particle concentration	6
Fasting small VLDL particle concentration	6
Fasting total cholesterol in IDL	6
Fasting total cholesterol in large LDL	6
Fasting total cholesterol in LDL	6
Fasting total cholesterol in medium LDL	6
Fasting total cholesterol in medium VLDL	6
Fasting total cholesterol in small LDL	6
Fasting total cholesterol in small VLDL	6
Fasting total cholesterol in very small VLDL	6
Fasting total cholesterol in VLDL	6
Fasting total lipids in IDL	6
Fasting total lipids in large LDL	6
Fasting total lipids in medium LDL	6
Fasting total lipids in small LDL	6
Fasting total lipids in small VLDL	6
Fasting triglycerides in LDL	6
Fasting triglycerides levels in IDL	6
Fasting triglycerides levels in large LDL	6
Fasting triglycerides levels in medium LDL	6
Fasting triglycerides levels in small LDL	6
Fasting triglycerides levels in very large HDL	6
Fasting very small VLDL particle concentration	6
Fluorodeoxyglucose (PET imaging) (24 month visit)	6
Fluorodeoxyglucose (PET imaging) (baseline)	6
Frailty index	6
Free cholesterol levels in small LDL	6
Functional activities questionnaire (12 month visit)	6
Functional activities questionnaire (24 month visit)	6
Functional activities questionnaire (6 month visit)	6
Functional activities questionnaire (baseline)	6
Fusiform volume (12 month visit)	6
Fusiform volume (24 month visit)	6
Fusiform volume (6 month visit)	6
Fusiform volume (baseline)	6
Global cognition (Clinical Dementia Rating Scale Sum of Boxes) (12 month visit)	6
Global cognition (Clinical Dementia Rating Scale Sum of Boxes) (24 month visit)	6
Global cognition (Clinical Dementia Rating Scale Sum of Boxes) (6 month visit)	6
Global cognition (Clinical Dementia Rating Scale Sum of Boxes) (baseline)	6
Glomerular filtration rate (creatinine)	6
Goat cheese liking	6
Gut microbiota abundance (phylum Actinobacteria id.400)	6
Haemorrhoidal disease	6
Hard cheese liking	6
High-sensitivity C-reactive protein levels in HIV infection	6
High-sensitivity cardiac troponin T levels	6
Hip fracture	6
Hippocampal volume (12 month visit)	6
Hippocampal volume (24 month visit)	6
Hippocampal volume (6 month visit)	6
Hippocampal volume (baseline)	6
IDP dMRI ProbtrackX OD str l	6
IDP dMRI TBSS FA Fornix	6
IDP dMRI TBSS ICVF Cerebral peduncle L	6
IDP dMRI TBSS ICVF Cerebral peduncle R	6
IDP dMRI TBSS ISOVF Fornix	6
IDP dMRI TBSS L2 Fornix	6
IDP dMRI TBSS L3 Fornix	6
IDP dMRI TBSS MD Cingulum cingulate gyrus R	6
IDP dMRI TBSS MD Fornix	6
IDP dMRI TBSS MO Cerebral peduncle L	6
IDP dMRI TBSS MO Cerebral peduncle R	6
IDP dMRI TBSS OD Anterior limb of internal capsule L	6
IDP dMRI TBSS OD Cerebral peduncle L	6
IDP SWI T2star left pallidum	6
IDP SWI T2star right pallidum	6
IDP T1 FAST ROIs L cerebellum I-IV	6
IDP T1 FAST ROIs L cerebellum IX	6
IDP T1 FAST ROIs L cerebellum VIIIb	6
IDP T1 FAST ROIs L putamen	6
IDP T1 FAST ROIs L ventral striatum	6
IDP T1 FAST ROIs R cerebellum IX	6
IDP T1 FAST ROIs R putamen	6
IDP T1 FAST ROIs V cerebellum IX	6
IDP T1 FAST ROIs V cerebellum VIIIa	6
IDP T1 FAST ROIs V cerebellum VIIIb	6
Inferior parietal cortical thickness	6
Information processing speed (symbol digit substitution)	6
Lamb liking	6
Lateral ventricle volume change rate x age interaction (2df)	6
Lateral ventricular volume in normal aging	6
LDL cholesterol to HDL cholesterol ratio	6
Logical memory (delayed recall)	6
Logical memory (immediate recall)	6
Loneliness (MTAG)	6
Longevity (100 years and older)	6
Longevity (85 years and older)	6
Low high density lipoprotein cholesterol levels	6
Lung function in never smokers (low FEV1 vs high FEV1)	6
Lysophosphatidylcholine (20:0) [sn2] levels	6
Lysophosphatidylcholine 20:4 levels	6
lysoPhosphatidylcholine acyl C26:1 levels	6
Lysophosphatidylethanolamine_16:0_[M-H]1- levels	6
Meningioma	6
Middle temporal cortical thickness	6
Middle temporal gyrus volume (12 month visit)	6
Middle temporal gyrus volume (6 month visit)	6
Middle temporal gyrus volume (baseline)	6
Mini-mental state examination / Folstein test (12 month visit)	6
Mini-mental state examination / Folstein test (24 month visit)	6
Mini-mental state examination / Folstein test (6 month visit)	6
Mini-mental state examination / Folstein test (baseline)	6
Moderate-to-vigorous intensity physical activity during leisure time (MTAG)	6
Monohexosylceramide (d18:1/22:0) levels	6
Monohexosylceramide (d18:1/24:0) levels	6
Mortality	6
Neuritic plaques or cerebral amyloid angiopathy (pleiotropy)	6
Neuritic plaques or neurofibrillary tangles (pleiotropy)	6
Neurofibrillary tangles or cerebral amyloid angiopathy (pleiotropy)	6
Neuropathologic traits (pleiotropy)	6
Neutrophil collagenase levels	6
Non-melanoma skin cancer	6
Offspring birth weight	6
Osteoarthritis (hip)	6
Parkinson's disease (age of onset)	6
Parkinson's disease progression (cognitive)	6
Parkinson's disease progression (composite)	6
Phosphatidylcholine diacyl C34:4 levels	6
Phosphatidylcholine diacyl C38:5 levels	6
Phosphatidylcholine-O_34:2_[M+H]1+/Phosphatidylcholine-P_34:1_[M+H]1+/Phosphatidylethanolamine-O_37:2_[M+H]1+ levels	6
Phosphatidylcholine-O_36:3_[M+H]1+/Phosphatidylcholine-P_36:2_[M+H]1+ levels	6
Phosphatidylinositol levels	6
Phospholipid levels in medium VLDL	6
Photic sneeze reflex	6
Physical activity (Total log acceleration 8am-10am)	6
Physical activity (Total log acceleration)	6
Plasma amyloid beta peptide concentration (ABx-40/ABx-42 ratio)	6
Plasma amyloid beta peptide concentrations (ABx-42)	6
Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid)	6
Plasma p-tau181 levels	6
Postprandial 3-hydroxybutyrate	6
Postprandial cholesterol esters in chylomicrons and extremely large VLDL	6
Postprandial cholesterol esters in IDL	6
Postprandial cholesterol esters in large LDL	6
Postprandial cholesterol esters in medium HDL	6
Postprandial cholesterol esters in medium LDL	6
Postprandial cholesterol esters in medium VLDL	6
Postprandial cholesterol esters in small LDL	6
Postprandial cholesterol esters in small VLDL	6
Postprandial cholesterol esters in very small VLDL	6
Postprandial esterified cholesterol	6
Postprandial free cholesterol	6
Postprandial free cholesterol in medium HDL	6
Postprandial free cholesterol in medium LDL	6
Postprandial free cholesterol in small HDL	6
Postprandial free cholesterol in small LDL	6
Postprandial free cholesterol in small VLDL	6
Postprandial free cholesterol in very small VLDL	6
Postprandial IDL particle concentration	6
Postprandial large LDL particle concentration	6
Postprandial medium HDL particle concentration	6
Postprandial medium LDL particle concentration	6
Postprandial phospholipid levels in large LDL	6
Postprandial phospholipid levels in medium HDL	6
Postprandial phospholipid levels in medium LDL	6
Postprandial phospholipid levels in small LDL	6
Postprandial phospholipid levels in small VLDL	6
Postprandial phospholipid levels in very small VLDL	6
Postprandial serum total cholesterol	6
Postprandial small HDL particle concentration	6
Postprandial small LDL particle concentration	6
Postprandial small VLDL particle concentration	6
Postprandial total cholesterol in IDL	6
Postprandial total cholesterol in large LDL	6
Postprandial total cholesterol in LDL	6
Postprandial total cholesterol in medium HDL	6
Postprandial total cholesterol in medium LDL	6
Postprandial total cholesterol in medium VLDL	6
Postprandial total cholesterol in small LDL	6
Postprandial total cholesterol in small VLDL	6
Postprandial total cholesterol in very small VLDL	6
Postprandial total cholesterol in VLDL	6
Postprandial total lipids in IDL	6
Postprandial total lipids in large LDL	6
Postprandial total lipids in medium HDL	6
Postprandial total lipids in medium LDL	6
Postprandial total lipids in small HDL	6
Postprandial total lipids in small LDL	6
Postprandial total lipids in small VLDL	6
Postprandial triglycerides in LDL	6
Postprandial triglycerides levels in IDL	6
Postprandial triglycerides levels in large LDL	6
Postprandial triglycerides levels in medium LDL	6
Postprandial triglycerides levels in small LDL	6
Postprandial triglycerides levels in very large HDL	6
Postprandial very small VLDL particle concentration	6
Primary biliary cirrhosis	6
QRS duration	6
Ratio of apolipoprotein B to apolipoprotein A1 levels	6
Ratio of linoleic acid to total fatty acids	6
Respiratory diseases	6
Rey auditory verbal learning test (12 month visit)	6
Rey auditory verbal learning test (24 month visit)	6
Rey auditory verbal learning test (6 month visit)	6
Rey auditory verbal learning test (baseline)	6
Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	6
Savoury biscuit liking	6
Serum C-reactive protein concentration	6
Serum levels of protein AIMP1	6
Serum levels of protein BIRC2	6
Serum levels of protein CLK2	6
Serum levels of protein CPE	6
Serum levels of protein CRP	6
Serum levels of protein CRYZL1	6
Serum levels of protein CUZD1	6
Serum levels of protein IRF6	6
Serum levels of protein MSN	6
Serum levels of protein NDE1	6
Serum levels of protein PLA2G7	6
Serum levels of protein POLR1C	6
Serum levels of protein PSD	6
Serum levels of protein RALA	6
Serum levels of protein SNRPF	6
Serum levels of protein YWHAE	6
Small nuclear ribonucleoprotein F levels	6
Smoking behavior	6
Sphingomyelin_33:1_[M+H]1+ levels	6
Sphingomyelin(37:1)_[M+H]1+ levels	6
Stable angina pectoris	6
Stool frequency	6
Stroke	6
Sulfatide (d18:1/24:0(OH) levels) levels	6
Sum eosinophil basophil counts	6
Superior frontal cortical thickness	6
Systolic blood pressure (cigarette smoking interaction)	6
Total brain volume change rate x age interaction (2df)	6
Tourette syndrome	6
Triacylglycerol 56:6 levels	6
Triacylglycerol_50:3_[M+NH4]1+ levels	6
Triacylglycerol_50:4_[M+NH4]1+ levels	6
Trihexosylcermide (d18:1/18:0) levels	6
Tuberculosis	6
Urinary albumin excretion (no hypertensive medication)	6
Uterine leiomyoma or ER positive breast cancer (pleiotropy)	6
Venous thromboembolism or factor VII levels (pleiotropy)	6
Verbal memory performance (residualized delayed recall level)	6
Waist-to-hip ratio adjusted for BMI in active individuals	6
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2) levels in elite athletes	5
Albumin-globulin ratio	5
Alcohol consumption (drinkers vs non-drinkers)	5
Alkenylphosphatidylcholine (P-17:0/20:4) (a) levels	5
Alkenylphosphatidylcholine (P-17:0/20:4) (b) levels	5
Alkenylphosphatidylcholine (P-18:0/20:4) levels	5
Alkenylphosphatidylcholine (P-18:0/22:5) levels	5
Alkenylphosphatidylcholine (P-38:5) (b) levels	5
Alkenylphosphatidylethanolamine (P-16:0/20:3) (a) levels	5
Alkenylphosphatidylethanolamine (P-17:0/20:4) (a) levels	5
Alkenylphosphatidylethanolamine (P-17:0/20:4) (b) levels	5
Alkenylphosphatidylethanolamine (P-18:0/20:4) levels	5
Alkenylphosphatidylethanolamine (P-18:1/20:3) (a) levels	5
Alkenylphosphatidylethanolamine (P-18:1/20:3) (b) levels	5
Alkenylphosphatidylethanolamine (P-19:0/20:4) (b) levels	5
Alkylphosphatidylcholine (O-18:0/20:4) levels	5
AmygNuclei lh volume Central-nucleus	5
AmygNuclei rh volume Central-nucleus	5
Anthropometric traits	5
Anthropometric traits (multi-trait analysis)	5
aparc-a2009s lh area S-collat-transv-ant	5
aparc-a2009s lh thickness S-orbital-H-Shaped	5
aparc-a2009s rh area G-oc-temp-lat-fusifor	5
aparc-Desikan rh area lateraloccipital	5
aparc-Desikan rh volume fusiform	5
aparc-DKTatlas rh area lateraloccipital	5
aparc-pial lh area TotalSurface	5
aparc-pial rh area TotalSurface	5
Ascending aorta minimum area	5
Ascending thoracic aortic diameter	5
aseg global volume SupraTentorial	5
aseg lh volume CerebralWhiteMatter	5
aseg rh intensity Caudate	5
aseg rh volume CerebralWhiteMatter	5
Atrial fibrillation (MTAG)	5
Autism and educational attainment (MTAG)	5
BA-exvivo rh area V2	5
Bitter taste perception	5
Body mass index and triglycerides (pairwise)	5
Brain amyloid deposition (PET imaging)	5
Cannabis use disorder	5
Carotid intima media thickness (minimum)	5
Central corneal thickness (MTAG)	5
Cerebral amyloid angiopathy in Alzheimer’s disease	5
Cerebrospinal fluid amyloid beta 42 levels in abnormal amyloid levels	5
Cholesteryl ester (16:0) levels	5
Cholesteryl ester (24:6) levels	5
Cholesteryl esters to total lipids ratio in small HDL	5
Cognitive impairment	5
Coronary artery disease or factor XI levels (pleiotropy)	5
Curry liking	5
Cystatin C plasma levels	5
Diacylglycerol (18:1_20:3) levels	5
Diacylglycerol (18:1_20:4) levels	5
Driving (hours per day)	5
Dyslipidemia	5
Early-onset ischemic stroke	5
Endometriosis or depression (pleiotropy)	5
Eosinophil percentage of granulocytes	5
Estimated glomerular filtration rate in non-diabetics	5
F-sweetened coffee drink liking (derived food-liking factor)	5
F-wine liking (derived food-liking factor)	5
Familial combined hyperlipidemia defined by Brunzell criteria	5
Fasting blood glucose (BMI interaction)	5
Fasting blood glucose adjusted for BMI	5
Fasting cholesterol esters in large VLDL	5
Fasting cholesterol esters in very large VLDL	5
Fasting free cholesterol in large VLDL	5
Fasting large VLDL particle concentration	5
Fasting phospholipid levels in large VLDL	5
Fasting phospholipid levels in very large VLDL	5
Fasting total cholesterol in large VLDL	5
Fasting total lipids in large VLDL	5
Fasting total lipids in very large VLDL	5
Fasting triglycerides levels in large VLDL	5
Fasting triglycerides levels in very small VLDL	5
Forns index in high alcohol intake	5
Free cholesterol to total lipids ratio in chylomicrons and extremely large VLDL	5
Frontotemporal dementia	5
Gastroesophageal reflux disease, peptic ulcer disease and/or corresponding medications and treatment	5
Glaucoma	5
Gut microbiota abundance (family Bifidobacteriaceae id.433)	5
Gut microbiota abundance (order Bifidobacteriales id.432)	5
Handedness (Left-handed vs. non-left-handed)	5
High-sensitivity cardiac troponin I concentration (MTAG)	5
High-sensitivity cardiac troponin T levels (MTAG)	5
Hypertrophic cardiomyopathy (sarcomere negative)	5
IDP dMRI ProbtrackX L1 atr l	5
IDP dMRI ProbtrackX L1 slf r	5
IDP dMRI ProbtrackX MD str l	5
IDP dMRI TBSS ICVF Genu of corpus callosum	5
IDP dMRI TBSS L1 Anterior corona radiata L	5
IDP dMRI TBSS L1 External capsule R	5
IDP dMRI TBSS L3 Anterior limb of internal capsule L	5
IDP dMRI TBSS MD Anterior corona radiata L	5
IDP dMRI TBSS MD Anterior corona radiata R	5
IDP dMRI TBSS MD Cingulum cingulate gyrus L	5
IDP T1 FAST ROIs R cerebellum VIIIb	5
IDP T1 FAST ROIs R ventral striatum	5
Ischemic stroke or factor VII levels (pleiotropy)	5
Lactate dehydrogenase levels	5
Lactate levels	5
Lateral thalamic nuclei volume	5
Leucine levels	5
Liver enzyme levels	5
Lobar intracerebral hemorrhage	5
Lumbar spine bone mineral density	5
Lysoalkenylphosphatidylcholine (P-16:0) levels	5
Lysoalkenylphosphatidylcholine (P-18:0) levels	5
Lysoalkylphosphatidylcholine (O-16:0) levels	5
Lysoalkylphosphatidylcholine (O-18:0) levels	5
Lysophosphatidylethanolamine (20:4) [sn1] levels	5
Major depressive disorder (lifetime)	5
Marzipan liking	5
Medication use (vasodilators used in cardiac diseases)	5
MHC class I polypeptide-related sequence B levels	5
Mitochondrial DNA copy number	5
Moderate to vigorous physical activity duration	5
Neutrophil percentage of granulocytes	5
Non-small cell lung cancer	5
Nonatopic asthma	5
Oleoyl-arachidonoyl-glycerol (18:1/20:4) [1] levels	5
Osteoporosis-related phenotypes (MTAG)	5
OTU99_8 (Ruminococcaceae) prevalence	5
Phosphatidylcholine (16:0_16:0) levels	5
Phosphatidylcholine (16:1_18:2) levels	5
Phosphatidylcholine (36:0) levels	5
Phosphatidylcholine-O(39:1)_[M+H]1+/Phosphatidylethanolamine-P(39:0)_[M+H]1+ levels	5
Postprandial cholesterol esters in large VLDL	5
Postprandial cholesterol esters in very large VLDL	5
Postprandial free cholesterol in large VLDL	5
Postprandial large VLDL particle concentration	5
Postprandial phospholipid levels in large VLDL	5
Postprandial total cholesterol in large VLDL	5
Postprandial total cholesterol in very large VLDL	5
Postprandial total lipids in large VLDL	5
Postprandial triglycerides levels in large VLDL	5
Postprandial triglycerides levels in small HDL	5
Postprandial triglycerides levels in very small VLDL	5
Processed meat consumption	5
Progressive supranuclear palsy	5
Protein quantitative trait loci	5
Receptor for advanced glycosylation end products levels	5
Regular attendance at a gym or sports club	5
Remission after SSRI treatment in MDD or neuroticism	5
Renal underexcretion gout	5
Serum levels of protein ADAM11	5
Serum levels of protein AKT2	5
Serum levels of protein ARFGAP1	5
Serum levels of protein C1orf56	5
Serum levels of protein FAM159B	5
Serum levels of protein GAL3ST2	5
Serum levels of protein GGT2	5
Serum levels of protein GSTM1	5
Serum levels of protein HBQ1	5
Serum levels of protein HDAC8	5
Serum levels of protein HLA-DRB3	5
Serum levels of protein IFIT2	5
Serum levels of protein NEFL	5
Serum levels of protein NPTX2	5
Serum levels of protein PSG5	5
Serum levels of protein RAB14	5
Serum levels of protein TMCC3	5
Serum levels of protein TOM1L1	5
Serum levels of protein TP53I11	5
Serum levels of protein YWHAQ	5
Sex hormone-binding globulin levels in premenopausal women	5
Smoking status (current vs mixed)	5
Soft cheese liking	5
Spherical equivalent or myopia (age of diagnosis)	5
Sphingomyelin (d18:0/22:0) levels	5
Sphingomyelin(34:0)_[M+H]1+ levels	5
Sun-seeking behavior	5
Total Lysoalkenylphosphatidylcholine levels	5
Urate levels in obese individuals	5
Varicella zoster virus glycoproteins E and I antibody levels	5
Vegetables liking	5
Ventral diencephalon volume	5
Vitamin D levels	5
Waist Circumference - Triglycerides (WC-TG)	5
Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction)	5
wg lh intensity-contrast isthmuscingulate	5
wg rh intensity-contrast middletemporal	5
White matter hyperintensity volume x hypertension interaction (2df)	5
1-arachidonoyl-gpc (20:4n6) levels	4
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4) levels	4
1-palmitoyl-2-arachidonoyl-gpc (16:0/20:4n6) levels	4
1-stearoyl-2-arachidonoyl-gpc (18:0/20:4) levels	4
1-stearoyl-2-oleoyl-GPE (18:0/18:1) levels	4
Acetate levels	4
Acne (severe)	4
AFP levels	4
Alkenylphosphatidylcholine (P-15:0/20:4) (b) levels	4
Alkenylphosphatidylcholine (P-16:0/20:4) levels	4
Alkenylphosphatidylcholine (P-20:0/20:4) levels	4
Alkenylphosphatidylcholine (P-38:5) (a) levels	4
Alkenylphosphatidylethanolamine (P-16:0/20:4) levels	4
Alkenylphosphatidylethanolamine (P-18:1/20:4) (a) levels	4
Alkenylphosphatidylethanolamine (P-18:1/20:4) (b) levels	4
Alkenylphosphatidylethanolamine (P-19:0/20:4) (a) levels	4
Alkenylphosphatidylethanolamine (P-20:0/20:4) levels	4
Alkenylphosphatidylethanolamine (P-20:1/20:4) levels	4
Alkylphosphatidylcholine (O-16:0/20:3) levels	4
Alkylphosphatidylcholine (O-16:0/20:4) levels	4
Alkylphosphatidylcholine (O-38:5) levels	4
Alkylphosphatidylcholine (O-40:5) levels	4
Alkylphosphatidylethanolamine (O-16:0/20:3) levels	4
Alkylphosphatidylethanolamine (O-18:0/20:4) levels	4
Alzheimer's disease (age of onset) (adjusted for APOE e4 carrier status)	4
AmygNuclei lh volume Accessory-Basal-nucleus	4
AmygNuclei lh volume Cortical-nucleus	4
AmygNuclei rh volume Accessory-Basal-nucleus	4
Anterior thalamic nuclei volume	4
aparc-a2009s lh area S-orbital-H-Shaped	4
aparc-a2009s lh thickness G-cuneus	4
aparc-a2009s lh thickness Pole-occipital	4
aparc-a2009s rh thickness G-cuneus	4
aparc-a2009s rh thickness G-oc-temp-med-Lingual	4
aparc-a2009s rh thickness Pole-occipital	4
aparc-Desikan lh thickness cuneus	4
aparc-Desikan lh thickness GlobalMeanThickness	4
aparc-Desikan lh thickness inferiortemporal	4
aparc-Desikan lh thickness lateraloccipital	4
aparc-Desikan lh thickness paracentral	4
aparc-Desikan lh thickness precentral	4
aparc-Desikan rh thickness cuneus	4
aparc-Desikan rh thickness GlobalMeanThickness	4
aparc-Desikan rh thickness lateraloccipital	4
aparc-Desikan rh thickness lingual	4
aparc-Desikan rh thickness paracentral	4
aparc-Desikan rh thickness pericalcarine	4
